SizeRank,County,Year,Value,Impact
462,Livingston Parish,2011,275994.9578063386,Unaffected
1041,Washington Parish,2011,194093.00477462777,Affected
1360,Iberville Parish,2011,264048.4540297592,Unaffected
1560,West Baton Rouge Parish,2011,263096.92184992373,Unaffected
1661,Plaquemines Parish,2011,433635.1904871987,Affected
1725,Pointe Coupee Parish,2011,171321.81569225434,Unaffected
2071,West Feliciana Parish,2011,376424.7496432366,Unaffected
158,East Baton Rouge Parish,2011,336469.60275452456,Unaffected
160,Jefferson Parish,2011,321047.1875930808,Affected
178,Orleans Parish,2011,382855.3582926927,Affected
274,Caddo Parish,2011,252804.95649487196,Unaffected
462,Livingston Parish,2011,271888.5269117405,Unaffected
1041,Washington Parish,2011,194904.16582273412,Affected
1360,Iberville Parish,2011,263583.6184787876,Unaffected
1560,West Baton Rouge Parish,2011,257628.2006277257,Unaffected
1661,Plaquemines Parish,2011,435882.2791779104,Affected
1725,Pointe Coupee Parish,2011,171321.81569225434,Unaffected
2071,West Feliciana Parish,2011,377845.7197062315,Unaffected
158,East Baton Rouge Parish,2011,331564.66722533666,Unaffected
160,Jefferson Parish,2011,321415.3741681078,Affected
178,Orleans Parish,2011,380787.7605573066,Affected
274,Caddo Parish,2011,252454.0286655493,Unaffected
462,Livingston Parish,2011,267915.5636505897,Unaffected
1041,Washington Parish,2011,195941.99173109152,Affected
1360,Iberville Parish,2011,263878.1677388092,Unaffected
1560,West Baton Rouge Parish,2011,257887.0818132916,Unaffected
1661,Plaquemines Parish,2011,438056.8811366637,Affected
1725,Pointe Coupee Parish,2011,171321.81569225434,Unaffected
2071,West Feliciana Parish,2011,379985.804173576,Unaffected
158,East Baton Rouge Parish,2011,329407.3240122878,Unaffected
160,Jefferson Parish,2011,321074.8015862078,Affected
178,Orleans Parish,2011,380475.9525515806,Affected
274,Caddo Parish,2011,252697.9522715047,Unaffected
462,Livingston Parish,2011,265445.26184876787,Unaffected
1041,Washington Parish,2011,196185.91533704693,Affected
1360,Iberville Parish,2011,264010.4847892095,Unaffected
1560,West Baton Rouge Parish,2011,257671.9227835102,Unaffected
1661,Plaquemines Parish,2011,437397.5970507559,Affected
1725,Pointe Coupee Parish,2011,171321.81569225434,Unaffected
2071,West Feliciana Parish,2011,379454.2348058807,Unaffected
158,East Baton Rouge Parish,2011,328166.9954876655,Unaffected
160,Jefferson Parish,2011,321577.60637772904,Affected
178,Orleans Parish,2011,380035.2792445952,Affected
274,Caddo Parish,2011,253367.59160483503,Unaffected
462,Livingston Parish,2011,263365.00769986527,Unaffected
1041,Washington Parish,2011,195947.74464632632,Affected
1360,Iberville Parish,2011,257135.75108362708,Unaffected
1560,West Baton Rouge Parish,2011,257731.75310195208,Unaffected
1661,Plaquemines Parish,2011,437017.9046452594,Affected
1725,Pointe Coupee Parish,2011,171321.81569225434,Unaffected
2071,West Feliciana Parish,2011,378366.9338265041,Unaffected
158,East Baton Rouge Parish,2011,328558.1937236317,Unaffected
160,Jefferson Parish,2011,322149.44615206786,Affected
178,Orleans Parish,2011,379208.01003383135,Affected
274,Caddo Parish,2011,253810.56607791444,Unaffected
462,Livingston Parish,2011,260899.30823023128,Unaffected
1041,Washington Parish,2011,195930.48590062195,Affected
1360,Iberville Parish,2011,249224.34205273428,Unaffected
1560,West Baton Rouge Parish,2011,258030.90469416152,Unaffected
1661,Plaquemines Parish,2011,437700.2003921063,Affected
1725,Pointe Coupee Parish,2011,171321.81569225434,Unaffected
2071,West Feliciana Parish,2011,376792.9362182636,Unaffected
158,East Baton Rouge Parish,2011,330721.2898519154,Unaffected
160,Jefferson Parish,2011,322188.5659756645,Affected
178,Orleans Parish,2011,377915.905272096,Affected
274,Caddo Parish,2011,254391.6105166289,Unaffected
462,Livingston Parish,2011,260345.87778464385,Unaffected
1041,Washington Parish,2011,195925.88356843407,Affected
1360,Iberville Parish,2011,180685.68450587077,Unaffected
1560,West Baton Rouge Parish,2011,258462.3733367713,Unaffected
1661,Plaquemines Parish,2011,438413.56188122113,Affected
1725,Pointe Coupee Parish,2011,171321.81569225434,Unaffected
2071,West Feliciana Parish,2011,377979.1873396787,Unaffected
158,East Baton Rouge Parish,2011,331624.49754377856,Unaffected
160,Jefferson Parish,2011,320226.8218805987,Affected
178,Orleans Parish,2011,377135.8099662575,Affected
274,Caddo Parish,2011,254227.07714091372,Unaffected
462,Livingston Parish,2011,260907.36231156,Unaffected
1041,Washington Parish,2011,196533.39141722867,Affected
1360,Iberville Parish,2011,240667.45593249725,Unaffected
1560,West Baton Rouge Parish,2011,258811.0,Unaffected
1661,Plaquemines Parish,2011,439307.56490870856,Affected
1725,Pointe Coupee Parish,2011,171321.81569225434,Unaffected
2071,West Feliciana Parish,2011,378095.3962274216,Unaffected
158,East Baton Rouge Parish,2011,331343.7552803204,Unaffected
160,Jefferson Parish,2011,318441.1169917177,Affected
178,Orleans Parish,2011,377293.43984369095,Affected
274,Caddo Parish,2011,254482.50657733876,Unaffected
462,Livingston Parish,2011,260886.65181671476,Unaffected
1041,Washington Parish,2011,196789.9714367006,Affected
1360,Iberville Parish,2011,240915.98187064048,Unaffected
1560,West Baton Rouge Parish,2011,258693.64052921013,Unaffected
1661,Plaquemines Parish,2011,434194.373848021,Affected
1725,Pointe Coupee Parish,2011,296310.8026665007,Unaffected
2071,West Feliciana Parish,2011,376837.808957095,Unaffected
158,East Baton Rouge Parish,2011,331042.30252201704,Unaffected
160,Jefferson Parish,2011,317320.4491039793,Affected
178,Orleans Parish,2011,378065.4810682007,Affected
274,Caddo Parish,2011,255159.04940895084,Unaffected
462,Livingston Parish,2011,259467.98291981377,Unaffected
1041,Washington Parish,2011,196734.74345044652,Affected
1360,Iberville Parish,2011,241391.17266903468,Unaffected
1560,West Baton Rouge Parish,2011,258943.3170504003,Unaffected
1661,Plaquemines Parish,2011,428669.274056522,Affected
1725,Pointe Coupee Parish,2011,297347.4779918111,Unaffected
2071,West Feliciana Parish,2011,375728.6468998261,Unaffected
158,East Baton Rouge Parish,2011,330383.01843610936,Unaffected
160,Jefferson Parish,2011,317105.29007419787,Affected
178,Orleans Parish,2011,379610.7141002672,Affected
274,Caddo Parish,2011,255799.9241661073,Unaffected
462,Livingston Parish,2011,257476.32366552707,Unaffected
1041,Washington Parish,2011,196940.69781585227,Affected
1360,Iberville Parish,2011,241781.22032195397,Unaffected
1560,West Baton Rouge Parish,2011,259049.17069072055,Unaffected
1661,Plaquemines Parish,2011,423252.3290714371,Affected
1725,Pointe Coupee Parish,2011,297986.0515828736,Unaffected
2071,West Feliciana Parish,2011,375697.5811575583,Unaffected
158,East Baton Rouge Parish,2011,330601.62921503163,Unaffected
160,Jefferson Parish,2011,316861.3664682425,Affected
178,Orleans Parish,2011,378068.9328173416,Affected
274,Caddo Parish,2011,254945.0409622164,Unaffected
462,Livingston Parish,2011,251924.760463948,Unaffected
1041,Washington Parish,2011,196783.06793841883,Affected
1360,Iberville Parish,2011,242340.4036827762,Unaffected
1560,West Baton Rouge Parish,2011,259449.57359106245,Unaffected
1661,Plaquemines Parish,2011,423267.2866510476,Affected
1725,Pointe Coupee Parish,2011,298855.8923663749,Unaffected
2071,West Feliciana Parish,2011,375530.74661574914,Unaffected
158,East Baton Rouge Parish,2012,323300.135164682,Unaffected
160,Jefferson Parish,2012,308999.77737658645,Affected
178,Orleans Parish,2012,368523.3539683093,Affected
274,Caddo Parish,2012,249624.99845379236,Unaffected
462,Livingston Parish,2012,244670.7124315095,Unaffected
1041,Washington Parish,2012,193213.7731038268,Affected
1360,Iberville Parish,2012,239258.7608517644,Unaffected
1560,West Baton Rouge Parish,2012,254402.30543045548,Unaffected
1661,Plaquemines Parish,2012,414874.9550946453,Affected
1725,Pointe Coupee Parish,2012,298086.8210667526,Unaffected
2071,West Feliciana Parish,2012,369314.6870257933,Unaffected
158,East Baton Rouge Parish,2012,322166.116566635,Unaffected
160,Jefferson Parish,2012,306464.5807294616,Affected
178,Orleans Parish,2012,367031.99551382,Affected
274,Caddo Parish,2012,249856.0857426588,Unaffected
462,Livingston Parish,2012,243084.66455133844,Unaffected
1041,Washington Parish,2012,193309.58978457624,Affected
1360,Iberville Parish,2012,241474.94431474688,Unaffected
1560,West Baton Rouge Parish,2012,254986.2235554936,Unaffected
1661,Plaquemines Parish,2012,414739.68448652833,Affected
1725,Pointe Coupee Parish,2012,303120.0149437703,Unaffected
2071,West Feliciana Parish,2012,369580.7192217566,Unaffected
158,East Baton Rouge Parish,2012,322787.2341089053,Unaffected
160,Jefferson Parish,2012,305527.8317682518,Affected
178,Orleans Parish,2012,368912.2569666455,Affected
274,Caddo Parish,2012,251141.1565197697,Unaffected
462,Livingston Parish,2012,245924.22006672644,Unaffected
1041,Washington Parish,2012,193867.5810430586,Affected
1360,Iberville Parish,2012,243279.67967804035,Unaffected
1560,West Baton Rouge Parish,2012,255717.8120943927,Unaffected
1661,Plaquemines Parish,2012,414601.03211320855,Affected
1725,Pointe Coupee Parish,2012,308411.35023127776,Unaffected
2071,West Feliciana Parish,2012,372342.4941374774,Unaffected
158,East Baton Rouge Parish,2012,323843.472107285,Unaffected
160,Jefferson Parish,2012,306269.56560275966,Affected
178,Orleans Parish,2012,373457.3493993745,Affected
274,Caddo Parish,2012,251817.50956035437,Unaffected
462,Livingston Parish,2012,245792.33122381248,Unaffected
1041,Washington Parish,2012,195440.101862418,Affected
1360,Iberville Parish,2012,244392.28042980217,Unaffected
1560,West Baton Rouge Parish,2012,256564.3806501912,Unaffected
1661,Plaquemines Parish,2012,415215.3861250729,Affected
1725,Pointe Coupee Parish,2012,308520.693972839,Unaffected
2071,West Feliciana Parish,2012,372124.93390942266,Unaffected
158,East Baton Rouge Parish,2012,326695.4274284171,Unaffected
160,Jefferson Parish,2012,307795.8689643457,Affected
178,Orleans Parish,2012,377040.8932594057,Affected
274,Caddo Parish,2012,252010.27017692095,Unaffected
462,Livingston Parish,2012,246244.36050593652,Unaffected
1041,Washington Parish,2012,197430.83431187223,Affected
1360,Iberville Parish,2012,245508.2629467669,Unaffected
1560,West Baton Rouge Parish,2012,257093.06327691488,Unaffected
1661,Plaquemines Parish,2012,415923.3023075516,Affected
1725,Pointe Coupee Parish,2012,308923.12403198687,Unaffected
2071,West Feliciana Parish,2012,370881.5715698145,Unaffected
158,East Baton Rouge Parish,2012,327057.27630512987,Unaffected
160,Jefferson Parish,2012,307800.3779846163,Affected
178,Orleans Parish,2012,380634.5824150457,Affected
274,Caddo Parish,2012,252614.47889317665,Unaffected
462,Livingston Parish,2012,246389.77640966227,Unaffected
1041,Washington Parish,2012,197606.68610242425,Affected
1360,Iberville Parish,2012,245410.1917558821,Unaffected
1560,West Baton Rouge Parish,2012,257929.48653710465,Unaffected
1661,Plaquemines Parish,2012,417065.2116910721,Affected
1725,Pointe Coupee Parish,2012,309876.7818192113,Unaffected
2071,West Feliciana Parish,2012,369469.1209700602,Unaffected
158,East Baton Rouge Parish,2012,326031.4741935765,Unaffected
160,Jefferson Parish,2012,307280.7133984337,Affected
178,Orleans Parish,2012,382209.3577445403,Affected
274,Caddo Parish,2012,252859.09324285475,Unaffected
462,Livingston Parish,2012,246136.144019443,Unaffected
1041,Washington Parish,2012,196462.5222087685,Affected
1360,Iberville Parish,2012,244793.5832338824,Unaffected
