,SizeRank,County,Year,Value
218,1725,Pointe Coupee Parish,2001,154205.17628458497
219,2071,West Feliciana Parish,2001,208448.54515661427
220,158,East Baton Rouge Parish,2001,201783.3108827212
221,160,Jefferson Parish,2001,150117.68691699603
222,178,Orleans Parish,2001,133677.1236758893
223,274,Caddo Parish,2001,135199.6363956651
224,462,Livingston Parish,2001,152115.39802371542
225,1041,Washington Parish,2001,152130.0118577075
226,1360,Iberville Parish,2001,170983.13722258937
227,1560,West Baton Rouge Parish,2001,183110.53915514372
228,1661,Plaquemines Parish,2001,296350.0947839422
229,1725,Pointe Coupee Parish,2001,154205.17628458497
230,2071,West Feliciana Parish,2001,208448.54515661427
231,158,East Baton Rouge Parish,2001,201783.3108827212
232,160,Jefferson Parish,2001,150959.4437549407
233,178,Orleans Parish,2001,134206.14446640317
234,274,Caddo Parish,2001,135199.6363956651
235,462,Livingston Parish,2001,152115.39802371542
236,1041,Washington Parish,2001,152130.0118577075
237,1360,Iberville Parish,2001,170983.13722258937
238,1560,West Baton Rouge Parish,2001,183110.53915514372
239,1661,Plaquemines Parish,2001,296350.0947839422
240,1725,Pointe Coupee Parish,2001,154205.17628458497
241,2071,West Feliciana Parish,2001,208448.54515661427
242,158,East Baton Rouge Parish,2001,201783.3108827212
243,160,Jefferson Parish,2001,151641.90980237152
244,178,Orleans Parish,2001,134575.87446640315
245,274,Caddo Parish,2001,135199.6363956651
246,462,Livingston Parish,2001,152115.39802371542
247,1041,Washington Parish,2001,152130.0118577075
248,1360,Iberville Parish,2001,170983.13722258937
249,1560,West Baton Rouge Parish,2001,183110.53915514372
250,1661,Plaquemines Parish,2001,296350.0947839422
251,1725,Pointe Coupee Parish,2001,154205.17628458497
252,2071,West Feliciana Parish,2001,208448.54515661427
253,158,East Baton Rouge Parish,2001,201783.3108827212
254,160,Jefferson Parish,2001,152314.1461660079
255,178,Orleans Parish,2001,134711.78312252962
256,274,Caddo Parish,2001,135199.6363956651
257,462,Livingston Parish,2001,152115.39802371542
258,1041,Washington Parish,2001,152130.0118577075
259,1360,Iberville Parish,2001,170983.13722258937
260,1560,West Baton Rouge Parish,2001,183110.53915514372
261,1661,Plaquemines Parish,2001,296350.0947839422
262,1725,Pointe Coupee Parish,2001,154205.17628458497
263,2071,West Feliciana Parish,2001,208448.54515661427
264,158,East Baton Rouge Parish,2002,203112.1756829897
265,160,Jefferson Parish,2002,149854.30241245133
266,178,Orleans Parish,2002,132780.54505836574
267,274,Caddo Parish,2002,138370.3666922994
268,462,Livingston Parish,2002,154279.55330739298
269,1041,Washington Parish,2002,155257.82723735407
270,1360,Iberville Parish,2002,171526.47973354516
271,1560,West Baton Rouge Parish,2002,185910.21260181928
272,1661,Plaquemines Parish,2002,303283.48128863354
273,1725,Pointe Coupee Parish,2002,156322.4194552529
274,2071,West Feliciana Parish,2002,213427.7853837009
275,158,East Baton Rouge Parish,2002,203112.1756829897
276,160,Jefferson Parish,2002,150212.52330739298
277,178,Orleans Parish,2002,133210.69785992216
278,274,Caddo Parish,2002,138370.3666922994
279,462,Livingston Parish,2002,154279.55330739298
280,1041,Washington Parish,2002,155257.82723735407
281,1360,Iberville Parish,2002,171526.47973354516
282,1560,West Baton Rouge Parish,2002,185910.21260181928
283,1661,Plaquemines Parish,2002,303283.48128863354
284,1725,Pointe Coupee Parish,2002,156322.4194552529
285,2071,West Feliciana Parish,2002,213427.7853837009
286,158,East Baton Rouge Parish,2002,203112.1756829897
287,160,Jefferson Parish,2002,150458.53042801554
288,178,Orleans Parish,2002,133991.87836575875
289,274,Caddo Parish,2002,138370.3666922994
290,462,Livingston Parish,2002,154279.55330739298
291,1041,Washington Parish,2002,155257.82723735407
292,1360,Iberville Parish,2002,171526.47973354516
293,1560,West Baton Rouge Parish,2002,185910.21260181928
294,1661,Plaquemines Parish,2002,303283.48128863354
